local_name,has_loinc,label_binary,pred_binary,sample_correct,gold_modality,spires_modality,match_modality,gold_anatomy_focus,spires_anatomy_focus,match_anatomy_focus,gold_anatomy_region,spires_anatomy_region,match_anatomy_region,gold_laterality,spires_laterality,match_laterality,gold_contrast,spires_contrast,match_contrast,gold_view,spires_view,match_view,gold_guidance_action,spires_guidance_action,match_guidance_action,gold_guidance_object,spires_guidance_object,match_guidance_object,gold_timing,spires_timing,match_timing,gold_reason,spires_reason,match_reason
MRI Research - YNE (TBI),True,1,1,0,MR,MR,1,brain,,0,head,,0,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
MRI Pancreatobiliary NRF Research (contrast),True,1,1,0,MR,MR,1,pancreas,pancreas,1,abdomen,abdomen,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
Embolization : Rt uterine,False,0,1,0,,,1,,uterine,0,,pelvis,0,,right,0,,,1,,,1,,embolization,0,,,1,,,1,,,1
MRI Research-mTBI-cohort,False,0,1,0,,MR,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
MRI Research - C-spine KSM_GN42272,True,1,1,0,MR,MR,1,spine.cervical,spine,0,neck,neck,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
MRI Rectum + Whole body diffusion (contrast),True,1,1,0,MR,MR,1,,rectum,0,abdomen,whole body,0,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
EBD tube check,True,1,1,0,RF,,0,tube,,0,xxx,,0,,,1,W,,0,Views,,0,,,1,,,1,w,,0,patency,,0
(외부)Myelo-(whole spine),True,1,1,0,RF,,0,spine.cervical,spine,0,neck,whole body,0,,,1,W,,0,Views,,0,,,1,,,1,w,,0,,,1
PET/MR Research Brain-LDS-1st,True,1,1,0,MR,PET,0,brain,brain,1,head,head,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
MRI Lt Knee (noncontrast),True,1,1,0,MR,MR,1,knee,knee,1,lower extremity,lower extremity,1,left,left,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
Dural A.V.F embolization (Artery),True,1,1,0,,,1,,,1,,,1,,,1,WO,,0,,,1,,embolization,0,,a.v.f,0,,,1,,,1
SONO Research ARFI-Tm-LJY,False,0,1,0,,US,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
SONO-GUIDED PROCEDURE III (INT),False,0,1,0,,US,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
SONO Appendix (충수),True,1,1,0,US,US,1,appendix,appendix,1,abdomen,abdomen,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
Thoracic aortography,True,1,1,0,RF,,0,aorta.thoracic,aorta,0,chest,chest,1,,unspecified,0,W,W,1,Views,,0,,,1,,,1,w,,0,,,1
UGIS-Gastrografin,True,1,1,0,RF,,0,gastrointestinal tract.upper,,0,abdomen,,0,,,1,W,W,1,Views,,0,,,1,,,1,w,,0,,,1
SONO Radiology consult OB - 1st trimester,True,1,1,0,US,US,1,,,1,pelvis,abdomen,0,,,1,W,,0,,,1,,,1,,,1,,,1,first trimester,,0
D-L-spine Rt Bending AP,True,1,1,0,XR,,0,spine.lumbar,spine,0,abdomen,lower extremity,0,,right,0,WO,,0,view; ap,AP,0,,,1,,,1,w,,0,,,1
"TFCA, Rt Common carotid artery",True,1,1,0,RF,,0,carotid arteries,artery,0,head,neck,0,right,right,1,W,,0,Views,,0,,,1,,,1,w,,0,,,1
Wrist Both Billiard,True,1,1,0,XR,,0,hand,wrist,0,upper extremity,upper extremity,1,bilateral,bilateral,1,WO,,0,view,,0,,,1,,,1,,,1,,,1
Wrist Lt Lat(Fx.),True,1,1,0,XR,XR,1,wrist,wrist,1,upper extremity,lower extremity,0,left,left,1,WO,WO,1,view; lateral,Lateral,0,,,1,,,1,,,1,,,1
PCN tube check Lt,False,0,1,0,,,1,,,1,,,1,,left,0,,,1,,,1,,,1,,,1,,,1,,,1
Arthrography Rt (MRI 검사용),True,1,1,0,MR,MR,1,joint,joint,1,xxx,lower extremity,0,,right,0,WO,W,0,,,1,,,1,,,1,w,,0,,,1
CT (Metal) Lower Extremity alignment+3D (noncontrast),True,1,1,0,CT,CT,1,,lower extremity,0,lower extremity,lower extremity,1,unspecified,unspecified,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,,1
Brain A.V.M. embolization,True,1,1,0,,,1,,brain,0,,head,0,,unspecified,0,WO,,0,,,1,,embolization,0,,,1,,,1,,,1
MRI Lt Hip arthrography(contrast),True,1,1,0,MR,MR,1,hip,hip,1,lower extremity,lower extremity,1,left,left,1,WO,W,0,,,1,,,1,,,1,w,,0,,,1
MRI C-T-LS-spine Myelogram (noncontrast),True,1,1,0,MR,MR,1,spine.cervical,spine,0,neck,lower extremity,0,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
SONO Liver (Detailed) (Contrast) (Sonazoid* Kit),True,1,1,0,US,US,1,liver,liver,1,abdomen,abdomen,1,,,1,WO,W,0,,,1,,,1,,,1,,,1,,,1
CT (Metal) Rt Knee Trauma + 3D (noncontrast),True,1,1,0,CT,CT,1,knee,knee,1,lower extremity,lower extremity,1,right,right,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,trauma,0
Lower leg Rt Lat,False,0,1,0,,,1,,lower leg,0,,lower extremity,0,,right,0,,,1,,Lateral,0,,,1,,,1,,,1,,,1
(외부)PM(PET/MRI)-MRI-Upper extremity,True,1,1,0,MR,PET,0,,,1,upper extremity,upper extremity,1,unspecified,,0,WO,,0,,,1,,,1,,,1,,,1,,,1
Lt Biliary Stent Placement,True,1,1,0,,,1,biliary ducts,biliary stent,0,abdomen,abdomen,1,,left,0,W,,0,,,1,placement,placement,1,stent,stent,1,,,1,,,1
MRI Research GS-4566 Rt (contrast),True,1,1,0,MR,MR,1,,,1,breast,,0,right,right,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
MRI Angiography - Abdominal Aorta (contrast),True,1,1,0,MR,MR,1,abdominal vessels,aorta,0,abdomen,abdomen,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
Embolization : gastroesoph.varix,True,1,1,0,,,1,,varix,0,,abdomen,0,,unspecified,0,WO,,0,,,1,,embolization,0,,gastroesophageal varix,0,,,1,,,1
소아SONO Research PED-LSH,True,1,1,0,US,US,1,,,1,,,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
Lower leg Lt AP,True,1,1,0,XR,,0,,lower leg,0,lower extremity,lower extremity,1,left,left,1,WO,,0,view; ap,AP,0,,,1,,,1,w,,0,,,1
Infusion for thrombolysis: Extracranial,False,0,1,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,thrombolysis,0
PCN Lt (INT),False,0,1,0,,,1,,,1,,,1,,left,0,,,1,,,1,,,1,,,1,,,1,,,1
CT Abdomen+Pelvis 3D (noncontrast),True,1,1,0,CT,CT,1,,abdomen,0,abdomen,abdomen,1,,,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,,1
Esophageal stent placement,False,0,1,0,,,1,,esophagus,0,,abdomen,0,,unspecified,0,,,1,,,1,,placement,0,,stent,0,,,1,,,1
Rt Subclavian arteriography (INT),True,1,1,0,RF,NM,0,subclavian artery,subclavian artery,1,chest,upper extremity,0,right,right,1,W,W,1,Views,,0,,,1,,,1,w,,0,,,1
CT Research Chest -ATHENA/CALLA (contrast_NO CM),True,1,1,0,CT,CT,1,,,1,chest,chest,1,,unspecified,0,WO,WO,1,,,1,,,1,,,1,,,1,,,1
SONO MWA GU (경피적) : 신장암 - 추가시행시,True,1,1,0,US,US,1,kidney,kidney,1,abdomen,abdomen,1,unspecified,,0,WO,,0,,,1,ablation,,0,tissue,,0,,,1,,kidney cancer,0
Ped MRI Chest (contrast),True,1,1,0,MR,MR,1,,,1,chest,chest,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
(외부)CT-Abdomen & Pelvis (Abdomen),True,1,1,0,CT,CT,1,,abdomen,0,abdomen,abdomen,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
CT (Metal) Rt Elbow + 3D (noncontrast),True,1,1,0,CT,CT,1,elbow,elbow,1,upper extremity,upper extremity,1,right,right,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,,1
CT Lt Upper arm + 3D (contrast),True,1,1,0,CT,CT,1,,upper arm,0,upper extremity,upper extremity,1,left,left,1,W,W,1,,3D,0,,,1,,,1,w,,0,,,1
CT Abdomen+Pelvis (noncontrast),True,1,1,0,CT,CT,1,,abdomen,0,abdomen,abdomen,1,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
"TFCA, Lt Common carotid artery",True,1,1,0,RF,,0,carotid arteries,artery,0,head,neck,0,left,left,1,W,,0,Views,,0,,,1,,,1,w,,0,,,1
SONO Transvaginal,True,1,1,0,US,US,1,,,1,pelvis,pelvis,1,,unspecified,0,WO,,0,transvaginal,,0,,,1,,,1,,,1,,,1
Vascular stents : iliac a.,False,0,1,0,,,1,,iliac artery,0,,pelvis,0,,unspecified,0,,,1,,,1,,placement,0,,stent,0,,,1,,,1
(HPC) C-spine AP,True,1,1,0,XR,,0,spine.cervical,cervical spine,0,neck,spine,0,,unspecified,0,WO,WO,1,view; ap,AP,0,,,1,,,1,,,1,,,1
Toe Lt (B)Obl,True,1,1,0,XR,,0,toes,toe,0,lower extremity,lower extremity,1,bilateral,left,0,WO,,0,Views,Oblique,0,,,1,,,1,,,1,,,1
Vascular stents : subclavian a.,False,0,1,0,,,1,,subclavian artery,0,,neck,0,,unspecified,0,,,1,,,1,,placement,0,,stent,0,,,1,,,1
MRI Research - CSH(YAD),True,1,1,0,MR,MR,1,,,1,,,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
CT Sternum + 3D (noncontrast),True,1,1,0,CT,CT,1,sternum,sternum,1,chest,chest,1,,unspecified,0,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,,1
SONO Bowel (portable) (소아),True,1,1,0,US,US,1,,bowel,0,abdomen,abdomen,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
MRI Research - DWASL,True,1,1,0,MR,MR,1,,,1,,,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
CT Angio + 3D Brain + Venography(contrast),True,1,1,0,CT,CTA,0,head arteries,brain,0,head,head,1,,unspecified,0,W,W,1,,3D,0,,,1,,,1,w,,0,,,1
MRI RT Plan T-Spine (non contrast),True,1,1,0,MR,MR,1,spine.thoracic,spine,0,chest,lower extremity,0,,unspecified,0,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
Angioplasty: Intracranial arteries,True,1,1,0,RF,,0,carotid artery.intracranial,arteries,0,head,head,1,,,1,W,,0,,,1,angioplasty,,0,,,1,w,,0,,,1
MRI Urography (소아 dynamic study) (contrast),True,1,1,0,MR,MR,1,,kidney,0,abdomen,abdomen,1,,unspecified,0,W,W,1,,,1,,,1,,,1,w,dynamic,0,,,1
Diagnostic spinal tapping,False,0,1,0,,,1,,,1,,spine,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Angioplasty : Lt iliac a.,False,0,1,0,,,1,,iliac artery,0,,pelvis,0,,left,0,,,1,,,1,,angioplasty,0,,,1,,,1,,,1
MRI Brain + Venography (noncontrast),True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
CT Research kidney_ KSY,True,1,1,0,CT,CT,1,kidney,kidney,1,abdomen,abdomen,1,bilateral,,0,WO,,0,,,1,,,1,,,1,,,1,,,1
Genitography,True,1,1,0,RF,,0,urethra,,0,pelvis,,0,,,1,W,,0,Views,,0,,,1,,,1,w,,0,,,1
SONO Neck Except Thyroid/Parathyroid,True,1,1,0,US,US,1,,neck,0,neck,neck,1,,unspecified,0,WO,,0,,,1,,,1,,,1,,,1,,,1
MRI T-spine: Thin Section (OP) (contrast),True,1,1,0,MR,MR,1,spine.thoracic,spine,0,chest,spine,0,,unspecified,0,W,W,1,,Thin Section,0,,,1,,,1,w,,0,,,1
Fluoroscopic foreign body removal (INT),True,1,1,0,RF,RF,1,,,1,,,1,,,1,WO,,0,,,1,substance removal,removal,0,foreign body,foreign body,1,,,1,,,1
Chest PA (미국 비자발급용),True,1,1,0,XR,XR,1,,,1,chest,chest,1,,unspecified,0,WO,WO,1,view; pa upright,PA,0,,,1,,,1,,,1,,,1
SONO Lymph node (1부위),True,1,1,0,US,US,1,,lymph node,0,,unspecified,0,,unspecified,0,WO,WO,1,,,1,,,1,,,1,,,1,,,1
SONO Research CEUS - YJI,False,0,1,0,,US,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
MRI Research_ Others KHJ (noncontrast),True,1,1,0,MR,MR,1,,,1,,,1,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
MRI Research - Brain KSM_GN42272,True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
(HPC) L-S-spine AP,True,1,1,0,XR,XR,1,spine.lumbar,spine,0,abdomen,lower extremity,0,,unspecified,0,WO,WO,1,view; ap,AP,0,,,1,,,1,,,1,,,1
Hand Lt Obl,True,1,1,0,XR,,0,hand,hand,1,upper extremity,upper extremity,1,left,left,1,WO,,0,view,Oblique,0,,,1,,,1,,,1,,,1
"MRI Rt Ankle (감염, 관절염) (contrast)",True,1,1,0,MR,MR,1,ankle,ankle,1,lower extremity,lower extremity,1,right,right,1,W,W,1,,,1,,,1,,,1,w,,0,,"infection, arthritis",0
Research DEXA - Lt Knee,False,0,1,0,,DXA,0,,knee,0,,lower extremity,0,,left,0,,WO,0,,,1,,,1,,,1,,,1,,,1
MRI Research-SMW(TINN),True,1,1,0,MR,MR,1,,,1,,,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
D-L-spine AP(stand),True,1,1,0,XR,,0,spine.lumbar,spine,0,abdomen,lower extremity,0,,left,0,WO,,0,view; ap,AP,0,,,1,,,1,,,1,,,1
CT Sacrum Trauma + 3D (noncontrast),True,1,1,0,CT,CT,1,spine.lumbar,sacrum,0,abdomen,pelvis,0,,unspecified,0,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,trauma,0
"MRI Orbit - Optic nerve, mass (contrast)",True,1,1,0,MR,MR,1,orbit,optic nerve,0,head,head,1,unspecified,unspecified,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
Sclerotherapy: Check (INT),False,0,0,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
CT Perfusion Brain (contrast),True,1,1,0,CT,CT,1,,brain,0,head,head,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
MRI Brain + Brain MRA + Carotid MRA + Diffusion (non contra,True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,unspecified,0,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
SONO Doppler UE vein Rt (Portable),True,1,1,0,US,US,1,upper extremity vein,vein,0,upper extremity,upper extremity,1,right,right,1,WO,,0,,,1,,,1,,,1,,,1,,,1
CT Rt Lower leg Trauma + 3D (noncontrast),True,1,1,0,CT,CT,1,lower leg,lower leg,1,lower extremity,lower extremity,1,right,right,1,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,trauma,0
Ped MRI Lymphangiography (noncontrast),True,1,1,0,MR,MR,1,,lymphatic system,0,,unspecified,0,,unspecified,0,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
CT Research Liver-optima (contrast),True,1,1,0,CT,CT,1,liver,liver,1,abdomen,abdomen,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
MRI RT Plan Pancreas (contrast),True,1,1,0,MR,MR,1,pancreas,pancreas,1,abdomen,abdomen,1,,unspecified,0,W,W,1,,,1,,,1,,,1,w,,0,,,1
MRI Research SVD - Perfusion (contrast),True,1,1,0,,MR,0,,,1,,,1,,,1,W,W,1,,,1,,,1,,,1,,,1,,,1
Hip Rt Translateral,True,1,1,0,XR,,0,hip,hip,1,lower extremity,lower extremity,1,right,right,1,WO,,0,view,Translateral,0,,,1,,,1,,,1,,,1
SONO Abdominal wall,True,1,1,0,US,US,1,,abdominal wall,0,abdomen,abdomen,1,,,1,WO,,0,,,1,,,1,,,1,,,1,,,1
CT Sella (3P) (contrast),True,1,1,0,CT,CT,1,posterior fossa,sella,0,head,head,1,,unspecified,0,W,W,1,,3P,0,,,1,,,1,w,,0,,,1
Colon,False,0,1,0,,,1,,colon,0,,abdomen,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1
CT Research Chest(contrast) WO42017,False,0,1,0,,CT,0,,chest,0,,chest,0,,unspecified,0,,W,0,,,1,,,1,,,1,,,1,,,1
Change of Ureter stent Both (INT),True,1,1,0,,,1,ureter,ureter,1,abdomen,abdomen,1,unspecified,bilateral,0,W,,0,,,1,placement,,0,stent,,0,,,1,,,1
DVD Print(원외용)/장,False,0,0,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Fluoroscopy(contrast),True,1,1,0,RF,RF,1,,,1,,,1,,,1,W,W,1,Views,,0,,,1,,,1,w,,0,,,1
MRI Brain Epilepsy (contrast),True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,epilepsy,0
PCN Lt,False,0,1,0,,,1,,,1,,,1,,left,0,,,1,,,1,,,1,,,1,,,1,,,1
CT (Metal) Hip (arthroplasty) + 3D (noncontrast),True,1,1,0,CT,CT,1,hip,hip,1,lower extremity,lower extremity,1,unspecified,,0,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,,1
Spinal angiogram: 5-10vessels,True,1,1,0,RF,,0,spine vessel,,0,xxx,spine,0,,,1,WO,,0,Views,,0,,,1,,,1,,,1,,,1
(Accel) MRI Brain + Brain MRA + Carotid MRA (contrast),True,1,1,0,,MR,0,,brain,0,,head,0,,unspecified,0,W,W,1,,,1,,,1,,,1,,,1,,,1
CT Angio + 3D Neck(contrast),True,1,1,0,CT,CTA,0,,neck,0,neck,head,0,,unspecified,0,W,W,1,,3D,0,,,1,,,1,w,,0,,,1
Knee Both Skyline(1매),True,1,1,0,XR,,0,knee,knee,1,lower extremity,lower extremity,1,bilateral,bilateral,1,WO,,0,views 1 or 2,Skyline,0,,,1,,,1,,,1,,,1
CT Research liver+pelvis-W(contrast),True,1,1,0,CT,CT,1,,liver,0,abdomen,pelvis,0,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
CT Chest ILD Insp + 3D (noncontrast),True,1,1,0,CT,CT,1,,lung,0,chest,chest,1,,unspecified,0,WO,WO,1,,3D,0,,,1,,,1,wo,,0,,ild,0
CT (Metal) Rt Wrist + 3D (contrast),True,1,1,0,CT,CT,1,wrist,wrist,1,upper extremity,upper extremity,1,right,right,1,W,W,1,,3D,0,,,1,,,1,w,,0,,,1
"SONO Obstetric (Radiology) - 태아정밀(Anomaly) (Triplet)-2,3st trimester",True,1,1,0,US,US,1,,fetus,0,pelvis,abdomen,0,,unspecified,0,W,,0,,,1,,,1,,,1,,,1,second or third trimester,anomaly,0
CR 추가,False,0,0,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
Spinal puncture with contrast injection for CT(Musculoskelet,True,1,1,0,CT,CT,1,spine,spine,1,xxx,spine,0,,unspecified,0,W,W,1,,,1,,injection,0,,,1,w,,0,,,1
Cross table Both Lat,True,1,1,0,XR,,0,hip,,0,lower extremity,,0,bilateral,bilateral,1,WO,,0,view; lateral crosstable,crosstable lateral,0,,,1,,,1,,,1,,,1
MRI Cine Spinal cord (noncontrast),True,1,1,0,MR,MR,1,spine,spinal cord,0,xxx,spine,0,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
MRI Rt Knee - T2 Mapping (noncontrast),True,1,1,0,MR,MR,1,knee,knee,1,lower extremity,lower extremity,1,right,right,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
C-spine Lat(ext),True,1,1,0,XR,,0,spine.cervical,spine,0,neck,neck,1,,unspecified,0,WO,WO,1,view; lateral,Lateral,0,,,1,,,1,w,,0,,,1
PCN tube change Lt,False,0,1,0,,,1,,,1,,,1,,left,0,,,1,,,1,,,1,,,1,,,1,,,1
Forearm Rt (B)Obl(2회),True,1,1,0,XR,,0,,forearm,0,upper extremity,upper extremity,1,bilateral,right,0,WO,,0,views 2,Oblique,0,,,1,,,1,,,1,,,1
Elbow Both (B)Obl(2회),True,1,1,0,XR,,0,elbow,elbow,1,upper extremity,upper extremity,1,bilateral,bilateral,1,WO,,0,views; oblique,Oblique,0,,,1,,,1,,,1,,,1
Ureter dilatation Rt,False,0,1,0,,,1,,ureter,0,,abdomen,0,,right,0,,,1,,,1,,,1,,,1,,,1,,,1
MRI CE-MRA(Intracranial) (contrast),True,1,1,0,MR,MR,1,brain,brain,1,head,head,1,,,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
SONO Neck Except Thyroid/Parathyroid + Doppler,True,1,1,0,US,US,1,neck vessels,neck,0,neck,neck,1,unspecified,unspecified,1,WO,,0,,,1,,,1,,,1,,,1,,,1
Ped MRI Lymphangiography (contrast),False,0,1,0,,MR,0,,lymphatic system,0,,unspecified,0,,unspecified,0,,W,0,,,1,,,1,,,1,,,1,,,1
CT (Metal) Rt Knee Trauma + 3D (contrast),True,1,1,0,CT,CT,1,knee,knee,1,lower extremity,lower extremity,1,right,right,1,W,W,1,,3D,0,,,1,,,1,w,,0,,trauma,0
CT Research-IQon-Noncontrast-MSK-CJY,True,1,1,0,CT,CT,1,spine,,0,xxx,musculoskeletal,0,,,1,WO,WO,1,,,1,,,1,,,1,wo,,0,,,1
Digital Breast Tomosynthesis Lt,True,1,1,0,MG,MG,1,,breast,0,breast,chest,0,left,left,1,WO,,0,,,1,,,1,,,1,,,1,diagnostic,,0
MRI Lt Brachial plexus (종양) (contrast),True,1,1,0,MR,MR,1,,brachial plexus,0,upper extremity,neck,0,left,left,1,W,W,1,,,1,,,1,,,1,w,,0,,,1
(외부)MRI LS-spine,True,1,1,0,MR,MR,1,spine.lumbar,spine,0,abdomen,lower extremity,0,,unspecified,0,WO,,0,,,1,,,1,,,1,,,1,,,1
CT Whole body Low Dose + 3D (noncontrast),True,1,1,1,CT,CT,1,,,1,whole body,whole body,1,,,1,WO,WO,1,,,1,,,1,,,1,,,1,,,1
Lt Inferior phrenic arteriography,False,0,1,0,,NM,0,,inferior phrenic artery,0,,abdomen,0,,left,0,,,1,,,1,,,1,,,1,,,1,,,1
